id,nome,preco,quantidade,descricao,total_vendas,quantidade_vendas
1,Coca-Cola,4.99,1000,Uma bebida gaseificada e refrescante,250,50
2,Pepsi,4.50,800,Uma bebida gaseificada e refrescante,200,40
3,Guaraná Antarctica,5.99,500,Uma bebida gaseificada e refrescante,150,30
4,Fanta Laranja,3.99,1200,Uma bebida gaseificada e refrescante sabor laranja,100,20
5,Fanta Uva,3.99,1000,Uma bebida gaseificada e refrescante sabor uva,80,16
6,Suco de Laranja,6.99,400,Um suco natural de laranja,50,10
7,Suco de Uva,7.99,300,Um suco natural de uva,40,8
8,Refrigerante de Guaraná,4.99,600,Uma bebida gaseificada e refrescante sabor guaraná,120,24
9,Refrigerante de Limão,4.99,500,Uma bebida gaseificada e refrescante sabor limão,80,16
10,Água Mineral,2.99,2000,Uma água mineral natural,500,100
11,Água com Gás,3.50,1500,Uma água mineral com gás,300,60
12,Chá Gelado de Limão,5.99,350,Uma bebida refrescante de chá gelado sabor limão,60,12
13,Chá Gelado de Pêssego,5.99,350,Uma bebida refrescante de chá gelado sabor pêssego,40,8
14,Chá Verde,6.99,250,Uma bebida quente de chá verde,30,6
15,Café,3.99,400,Uma bebida quente de café,50,10
16,Cappuccino,4.99,350,Uma bebida quente de cappuccino,40,8
17,Chocolate Quente,5.99,300,Uma bebida quente de chocolate,50,10
18,Milkshake de Baunilha,7.99,250,Um milkshake cremoso sabor baunilha,30,6
19,Milkshake de Chocolate,7.99,250,Um milkshake cremoso sabor chocolate,40,8
20,Milkshake de Morango,7.99,250,Um milkshake cremoso sabor morango,50,10
21,Vinho Tinto,29.99,100,Um vinho tinto encorpado,20,4
22,Vinho Branco,29.99,100,Um vinho branco leve e refrescante,30,6
23,Cerveja Pilsen,3.99,800,Uma cerveja leve e refrescante,200,40
24,Cerveja IPA,5.99,500,Uma cerveja mais encorpada e amarga,150,30
25,Cerveja Stout,6.99,400,Uma cerveja escura e forte,100,20
26,Cerveja de Trigo,4.99,600,Uma cerveja mais leve e turva,120,24
27,Coquetel de Frutas,8.99,250,Um coquetel refrescante de frutas,40,8
28,Mojito,9.99,200,Um coquetel refrescante de limão e hortelã,30,6
29,Caipirinha,7.99,300,Um coquetel brasileiro feito com cachaça e limão,50,10
30,Whisky Nacional,59.99,50,Um whisky nacional suave,10,2
31,Whisky Importado,199.99,20,Um whisky importado premium,5,1 
32,Vodka Nacional,29.99,100,Uma vodka nacional suave,20,4
33,Vodka Importada,99.99,50,Uma vodka importada premium,10,2
34,Rum Nacional,29.99,100,Um rum nacional suave,20,4
35,Rum Importado,99.99,50,Um rum importado premium,10,2
36,Tequila Nacional,39.99,80,Uma tequila nacional suave,15,3
37,Tequila Importada,129.99,30,Uma tequila importada premium,5,1
38,Gin Nacional,49.99,70,Um gin nacional suave,15,3
39,Gin Importado,149.99,25,Um gin importado premium,5,1
40,Conhaque Nacional,39.99,80,Um conhaque nacional suave,15,3
41,Conhaque Importado,129.99,30,Um conhaque importado premium,5,1
42,Cachaça,19.99,150,Uma cachaça brasileira de qualidade,40,8
43,Saquerinha,8.99,250,Um coquetel brasileiro feito com saquê e frutas,30,6
44,Licor de Chocolate,24.99,120,Um licor doce e cremoso sabor chocolate,20,4
45,Licor de Amêndoas,24.99,120,Um licor doce e cremoso sabor amêndoas,20,4
46,Licor de Café,24.99,120,Um licor doce e cremoso sabor café,20,4
47,Licor de Limão,24.99,120,Um licor doce e cremoso sabor limão,20,4
48,Licor de Maracujá,24.99,120,Um licor doce e cremoso sabor maracujá,20,4
49,Licor de Morango,24.99,120,Um licor doce e cremoso sabor morango,20,4
50,Licor de Cereja,24.99,120,Um licor doce e cremoso sabor cereja,20,4
51,Cerveja Artesanal IPA,9.99,200,Uma cerveja artesanal mais encorpada e amarga,50,10
52,Cerveja Artesanal Lager,8.99,250,Uma cerveja artesanal mais leve e refrescante,60,12
53,Cerveja Artesanal Ale,9.99,200,Uma cerveja artesanal mais forte e encorpada,50,10
54,Cerveja Artesanal Weiss,9.99,200,Uma cerveja artesanal mais turva e frutada,40,8
55,Vinho Rosé,24.99,150,Um vinho rosé leve e frutado,30,6
56,Champanhe Nacional,89.99,40,Uma champanhe nacional para brindar,10,2
57,Champanhe Importada,299.99,15,Uma champanhe importada para ocasiões especiais,5,1
58,Whisky Escocês,249.99,20,Um whisky escocês de malte único,5,1
59,Whisky Irlandês,189.99,30,Um whisky irlandês suave e saboroso,10,2
60,Whisky Americano,99.99,50,Um whisky americano com sabor de carvalho,20,4
61,Vodka Saborizada,39.99,80,Uma vodka saborizada de frutas,15,3
62,Rum Saborizado,39.99,80,Um rum saborizado de frutas,15,3
63,Tequila Saborizada,49.99,70,Uma tequila saborizada de frutas,20,4
64,Gin Saborizado,49.99,70,Um gin saborizado de frutas,20,4
65,Conhaque Saborizado,49.99,70,Um conhaque saborizado de frutas,20,4
66,Licor de Menta,24.99,120,Um licor doce e cremoso sabor menta,20,4
67,Licor de Mel,24.99,120,Um licor doce e cremoso sabor mel,20,4
68,Licor de Caramelo,24.99,120,Um licor doce e cremoso sabor caramelo,20,4
69,Licor de Abacaxi,24.99,120,Um licor doce e cremoso sabor abacaxi,20,4
70,Licor de Côco,24.99,120,Um licor doce e cremoso sabor côco,20,4
71,Licor de Romã,24.99,120,Um licor doce e cremoso sabor romã,20,4
72,Licor de Maçã Verde,24.99,120,Um licor doce e cremoso sabor maçã verde,20,4
73,Licor de Pêssego,24.99,120,Um licor doce e cremoso sabor pêssego,20,4
74,Licor de Ginja,24.99,120,Um licor doce e cremoso sabor ginja,20,4
75,Licor de Mirtilo,24.99,120,Um licor doce e cremoso sabor mirtilo,20,4
76,Licor de Ameixa,24.99,120,Um licor doce e cremoso sabor ameixa,20,4
77,Licor de Damasco,24.99,120,Um licor doce e cremoso sabor damasco,20,4
78,Licor de Framboesa,24.99,120,Um licor doce e cremoso sabor framboesa,20,4
79,Licor de Limoncello,24.99,120,Um licor doce e cremoso sabor limão siciliano,20,4
80,Licor de Café com Chocolate,24.99,120,Um licor doce e cremoso sabor café e chocolate,20,4
81,Licor de Avelã,24.99,120,Um licor doce e cremoso sabor avelã,20,4
82,Licor de Banana,24.99,120,Um licor doce e cremoso sabor banana,20,4
83,Licor de Melancia,24.99,120,Um licor doce e cremoso sabor melancia,20,4
84,Licor de Coco com Abacaxi,24.99,120,Um licor doce e cremoso sabor côco e abacaxi,20,4
85,Licor de Cereja com Amêndoa,24.99,120,Um licor doce e cremoso sabor cereja e amêndoa,20,4
86,Licor de Morango com Chocolate,24.99,120,Um licor doce e cremoso sabor morango e chocolate,20,4
87,Licor de Cereja com Chocolate,24.99,120,Um licor doce e cremoso sabor cereja e chocolate,20,4
88,Licor de Café com Caramelo,24.99,120,Um licor doce e cremoso sabor café e caramelo,20,4
89,Licor de Marula,24.99,120,Um licor doce e cremoso sabor marula,20,4
90,Licor de Amora,24.99,120,Um licor doce e cremoso sabor amora,20,4
91,Licor de Groselha,24.99,120,Um licor doce e cremoso sabor groselha,20,4
92,Licor de Café com Laranja,24.99,120,Um licor doce e cremoso sabor café e laranja,20,4
93,Licor de Frutas Vermelhas,24.99,120,Um licor doce e cremoso sabor frutas vermelhas,20,4
